,birth,death,race_eth,education,institution
Susan Howatch,1940, N/A, British, None, None
Jerzy Kosinski,1933, 1991, Polish-American, Bachelor's Degree, Łódź University
Walker Percy,1916, 1990, American, None, University of North Carolina at Chapel Hill
Thomas Tryon,1925, 2020, American, Bachelor's Degree, University of Connecticut
William Peter Blatty,1928, 2017, American, Bachelor's Degree, Georgetown University
Pierre Salinger,1925, 2004, White, Bachelor's Degree, University of California
Frederick Forsyth,1938, N/A, British, None, None
E.M. Forster,1879, 1970, British, Bachelor's Degree, King's College
George P. Garrett,1929, 2008, American, None, None
George V. Higgins,1939, 1999, American, Bachelor's Degree, Boston College
Richard Bach,1936, N/A, American, Bachelor's Degree, Long Beach State College
Jane McIlvaine McClary,1934, N/A, White, Bachelor's Degree, Vassar College
James Mills,1943, 2005, African American, Bachelor's Degree, University of Texas at Austin
Aleksandr Solzhenitsyn,1918, 2008, Russian, N/A, N/A
Dan Jenkins,1928, 2019, American, Bachelor's Degree, Texas Christian University
Marilyn Durham,1929, 2016, Caucasian, Bachelor's Degree, University of Michigan
Trevanian,1931, 2005, Caucasian, Bachelor's Degree, University of California
Marjorie Holmes,1910, 2002, American, Bachelor's Degree, University of Michigan
John Gardner,1933, 1982, Caucasian, Ph.D., University of Iowa
Phyllis A. Whitney,1903, 2008, Caucasian, Bachelor's Degree, University of California
John Godey,1913, 2008, American, Bachelor's Degree, New York University
Thomas Pynchon,1937, N/A, American, None, None
Robert Ludlum,1927, 2001, American, Bachelor's Degree, Wesleyan University
Dorothy Uhnak,1930, 2017, White, Bachelor's Degree, John Jay College of Criminal Justice
Doris Lessing,1919, 2013, British, Master's Degree, None
Tom Wicker,1926, 2011, American, Bachelor's Degree, UNC Chapel Hill
Paul Emil Erdman,1932, 2007, German-American, Bachelor's Degree, University of Wisconsin-Madison
Lawrence Sanders,1920, 1998, American, Bachelor's Degree, New York University
Lonnie Coleman,1914, 2008, American, Bachelor's Degree, Georgia State University
Margaret Craven,1901, 1980, Caucasian, Bachelor's Degree, University of California
Peter Benchley,1940, 2006, American, Bachelor's Degree, Lafayette College
Richard Adams,1920, 2016, British, Bachelor's Degree, Worcester College
George Higgins,1939, 1999, American, Bachelor's Degree, Boston College
Chuck Barris,1929, 2017, Caucasian, None, None
Sidney Sheldon,1917, 2007, American, None, None
Alfred Coppel,1923, 2016, Caucasian, Bachelor's Degree, University of California
Paul E. Erdman,1932, 2007, None, Ph.D., University of Wisconsin-Madison
Alison Lurie,1926, 2020, American, Bachelor's Degree, Radcliffe College
James Michener.,1907, 1997, Caucasian, Master's Degree, Colorado State University
Harold Robbins.,1916, 1997, American, None, None
Joseph Heller,1923, 1999, American, Bachelor's Degree, University of Pennsylvania
Thomas Tryon.,1925, 2006, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Thomas Harris,1940, N/A, American, Bachelor's Degree, Baylor University
"John D, MacDonald",1916, 1986, White, Bachelor's Degree, Pennsylvania State University
Peter Matthiessen,1927, 2014, White, N/A, N/A
Judith Rossner,1935, 2005, American, Bachelor's Degree, New York University
Lothar-Guenther Buchheim,1918, 2007, German, None, None
E. L. Doctorow,1931, 2015, American, Bachelor's Degree, Kenyon College
Jack Higgins,1929, N/A, Irish, None, None
Lothar-Gunther Buchheim,1918, 2007, German, None, None
Jerzy Kosiniski,1933, 1991, Polish, Master's Degree, University of Lodz
"William F. Buckley, Jr",1925, 2008, Caucasian, Bachelor's Degree, Yale University
Leslie Waller,1927, 2018, White, Bachelor's Degree, University of Minnesota
Frank De Felitta,1927, N/A, American, Bachelor's Degree, New York University
Lisa Alther,1944, N/A, White, Bachelor's Degree, University of North Carolina at Greensboro
Nicholas Meyer,1945, N/A, Caucasian, Bachelor's Degree, Swarthmore College
Spiro T. Agnew,1918, 1996, White, Bachelor's Degree, Johns Hopkins University
Judith Guest,1936, N/A, American, Bachelor's Degree, University of Michigan
Gael Greene,1933, N/A, Caucasian, Bachelor's Degree, University of Michigan
Francine du Plessix Gray,1933, 2021, French-American, Bachelor's Degree, Barnard College
Clive Cussler,1931, 2020, Caucasian, Bachelor's Degree, University of Oregon
Joyce Haber,1920, 2003, White, Bachelor's Degree, University of California
Sterling Hayden,1916, 1986, Caucasian, None, None
Harry Patterson,1940, N/A, Irish, Bachelor's Degree, None
Stephen King,1947, N/A, American, Bachelor's Degree, University of Maine
Erica Jong,1942, N/A, American, Bachelor's Degree, Barnard College
John D. MacDonald,1916, 1986, American, Bachelor's Degree, University of Pennsylvania
N. Richard Nash,1914, 2000, American, None, None
Colleen McCullough,1937, 2015, Australian, Bachelor's Degree, University of Sydney
William Safire,1929, 2009, Jewish American, Bachelor's Degree, Syracuse University
Robin Cook,1940, N/A, American, Doctor of Medicine, Columbia University
Anais Nin,1903, 1977, French-Cuban, None, None
Robert S. Elegant,1933, N/A, American, Bachelor's Degree, UCLA
Allistair MacLean,1922, 1987, Scottish, None, None
J.R.R. Tolkien,1892, 1973, English, Bachelor's Degree, Exeter College
Robert Coover,1932, N/A, White, Master's Degree, University of Chicago
Terence H. White,1912, 1964, White, Bachelor's Degree, University of Cambridge
Phillip Roth,1933, 2018, American, Bachelor's Degree, Bucknell University
Marilyn French,1929, 2009, White, None, None
John Gregory Dunne,1932, 2003, American, Bachelor's Degree, Princeton University
Jeffrey Archer,1940, N/A, British, None, None
Sylvia Tenenbaum,1931, N/A, Jewish, Doctorate, Columbia University
Judith Krantz,1928, 2019, American, Bachelor's Degree, Barnard College
Mary Higgins Clark,1927, 2020, American, None, None
Anton Myrer,1922, 1996, American, Bachelor's Degree, Harvard University
William F. Buckley Jr,1925, 2008, American, Bachelor's Degree, Yale University
John Irving,1942, N/A, American, Bachelor's Degree, University of New Hampshire
Mary Gordon,1949, N/A, Irish-American, Master's Degree, Boston University
James Carroll,1943, N/A, White, Bachelor's Degree, Boston College
Belva Plain,1910, 2010, Caucasian, Bachelor's Degree, Hunter College
Ken Follett,1949, N/A, Welsh, None, None
M.M. Kaye,1908, 2004, British, None, None
Judy Blume,1938, N/A, Caucasian, Bachelor's Degree, New Jersey College for Women
Helen Van Slyke,1893, 1980, American, Bachelor's Degree, University of Michigan
F. Lee Bailey,1927, N/A, White, None, None
Jacqueline Briskin,1927, N/A, White, Bachelor's Degree, University of California
Lucian K. Truscott IV,1938, N/A, White, Bachelor's Degree, University of West Georgia
Ruth Beebe Hill,1923, 2002, American, Bachelor's Degree, University of California
Neal Travis,1940, N/A, None, None, None
Peter Straub,1943, N/A, Caucasian, Bachelor's Degree, University of Wisconsin-Madison
Walter F. Murphy,1927, N/A, American, PhD, Harvard University
Barbara Taylor Bradford,1933, N/A, English, High School, None
William Goldman,1931, 2018, Jewish, Bachelor's Degree, Oberlin College
Jerzy Kusinski,1933, 1991, Polish, N/A, N/A
Norman Mailler,1923, 2007, American, Bachelor's Degree, Harvard University
Steve Shagan,1927, 2003, Jewish, Bachelor's Degree, University of Miami
Frank McDonald,1949, N/A, None, Bachelor's Degree, None
Cynthia Freeman,1915, 2003, Jewish, Bachelor's Degree, Hunter College
Garson Kanin,1912, 1999, White, Bachelor's Degree, University of California
Isaac Bashevis Singer,1902, 1991, Jewish, Bachelor's Degree, National University of Warsaw
Wilbur Smith,1933, 2021, South African, N/A, N/A
Dee Brown,1908, 2002, White, Bachelor's Degree, University of Arkansas
William Martin,None, N/A, None, None, None
Shirley Hazzard,1916, 2016, Australian, Bachelor's Degree, University of Sydney
Eric Van Lustbader,1946, N/A, Caucasian, Bachelor's Degree, New York University
P.D. James,1920, 2014, British, None, None
Dick Francis,1920, 2010, British, None, None
Margaret Truman,1924, 2008, White, Bachelor's Degree, George Washington University
Michael M. Thomas,1940, N/A, American, Bachelor's Degree, Harvard University
Joyce Carol Oates,1938, N/A, American, Master's Degree, University of Wisconsin-Madison
E.L. Doctorow,1931, 2015, Jewish, Bachelor's Degree, Kenyon College
Jean M. Auel,1936, N/A, White, Bachelor's Degree, University of Portland
Danielle Steel,1947, N/A, Caucasian, Bachelor's Degree, University of New York
Avery Corman,1935, N/A, American, Bachelor's Degree, New York University
Sidney Sheldon ,1917, 2007, American, Bachelor's Degree, Northwestern University
Robert Elegant,1933, N/A, American, Bachelor's Degree, University of California
Ray Bradbury,1920, 2012, Caucasian, None, None
Oriana Fallaci,1929, 2006, Italian, None, None
Kit Williams,1946, N/A, British, Bachelor's Degree, None
Philip Caputo,1941, N/A, American, Bachelor's Degree, University of Illinois
Fred Mustard Stewart,1925, 2018, White, Bachelor's Degree, University of California
Martin Cruz Smith,1942, N/A, American, Bachelor's Degree, University of California
Toni Morrison,1931, 2019, African American, Bachelor's Degree, Howard University
D.M. Thomas,1935, N/A, White, Bachelor's Degree, University of Cambridge
Frank Herbert,1920, 1986, American, Bachelor's Degree, University of Washington
Gay Courter,1936, N/A, American, Bachelor's Degree, University of Pennsylvania
Thomas Fleming,1927, N/A, American, Bachelor's Degree, None
Andrew M. Greeley,1928, 2013, Irish-American, PhD, University of Chicago
Paul Erdman,1932, 2007, American, Bachelor's Degree, University of Wisconsin-Madison
Anne Tolstoi Wallach,1945, N/A, None, Bachelor's Degree, Union College
Jackie Collins,1937, 2015, British, None, None
Robert Stone,1937, 2015, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Bette Bao Lord,1938, N/A, Chinese American, Bachelor's Degree, Barnard College
Robert Moss,None, N/A, Caucasian, None, None
David Niven,1910, 1983, British, None, None
Step hen King,1947, N/A, American, None, None
John Jakes,1932, 2018, White, Bachelor's Degree, DePauw University
Gail Godwin,1937, N/A, American, Bachelor's Degree, University of North Carolina at Greensboro
Paul Theroux,1941, N/A, American, Bachelor's Degree, University of Massachusetts Amherst
Garrison Keillor,1942, N/A, American, Bachelor's Degree, University of Minnesota
Anne Tyler,1941, N/A, American, Bachelor's Degree, Duke University
Thomas Thompson,None, N/A, American, None, None
Stephen R. Donaldson,1947, N/A, White, Bachelor's Degree, Oberlin College
Rita Mae Brown,1944, N/A, White, Bachelor's Degree, University of Florida
Judith Michael,None, N/A, American, Bachelor's Degree, University of Illinois
Robert A. Heinlein,1907, 1988, American, Bachelor's Degree, University of California
Michael Korda,1933, N/A, None, Bachelor's Degree, None
Jeffery Archer,1940, N/A, British, None, None
William Kotzwinkle,1943, N/A, American, Bachelor's Degree, University of Massachusetts Amherst
Shirley Conran,1932, N/A, English, Bachelor's Degree, None
Gerald A. Browne,1930, N/A, None, None, None
John M. Del Vecchio,1943, N/A, Italian American, Bachelor's Degree, N/A
Isaac Asimov,1920, 1992, Russian-American, PhD, Columbia University
Douglas Adams,1952, 2001, English, None, None
Elizabeth Forsythe Hailey,1941, N/A, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Arthur C. Clarke,1917, 2008, British, None, None
Marion Zimmer Bradley,1930, 1999, Caucasian, Bachelor's Degree, University of California
Elizabeth Forsythe Halley,1910, 2005, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Louis L'Amour,1908, 1988, American, Bachelor's Degree, None
Nora Ephron,1941, 2012, Jewish American, Bachelor's Degree, Wellesley College
Alice Walker,1944, N/A, African American, Bachelor's Degree, Sarah Lawrence College
L. Ron Hubbard,1911, 1986, Caucasian, None, None
Malcolm Bosse,1926, 2002, American, Bachelor's Degree, Harvard University
Umberto Eco,1932, 2016, Italian, Doctorate, University of Bologna
Umberto Eco.,1932, 2016, Italian, PhD, University of Turin
Trevanian.,1931, 2005, Caucasian, None, None
Andrew M. Greeley.,1928, 2013, Irish-American, Ph.D., University of Chicago
Barbara Taylor Bradford.,1933, N/A, British, None, None
Louis L'Amour.,1908, 1988, American, None, None
Jean M. Auel.,1936, N/A, Caucasian, Bachelor's Degree, University of Portland
Mark Helprin,1947, N/A, Jewish, Bachelor's Degree, Harvard College
Stephen Birmingham,1929, 2019, American, Bachelor's Degree, Harvard University
Bette Midler,1945, N/A, Caucasian, None, None
Anne McCaffrey,1926, 2011, Irish-American, Bachelor's Degree, Radcliffe College
Michael Ende,1929, 1995, German, None, None
Gary Jennings,1928, 1999, Caucasian, Bachelor's Degree, University of Southern California
Susan Isaacs,1943, N/A, Caucasian, Bachelor's Degree, Sarah Lawrence College
Clare Francis,1938, N/A, British, Bachelor's Degree, University of London
David Nevin,1955, N/A, American, Bachelor's Degree, University of California
Dr. Seuss,1904, 1991, American, Bachelor's Degree, Dartmouth College
Robert B. Parker,1932, 2010, American, Bachelor's Degree, Boston University
Helen Hooven Santmyer,1886, 1986, American, Bachelor's Degree, Ohio State University
Mary Carey,1885, 1970, Caucasian, None, None
Milan Kundera,1929, N/A, Czech, Doctorate, Charles University
William Diehl,1924, 2006, Caucasian, Bachelor's Degree, University of Florida
Jayne Anne Phillips,1952, N/A, American, Master's Degree, University of Iowa
Janet Dailey,1939, 2021, Caucasian, Bachelor's Degree, University of Iowa
Alice Adams,1926, 1999, American, Bachelor's Degree, University of California
Joan Rivers,1933, 2014, Jewish, None, None
E. T. A. Hoffmann,1776, 1822, German, None, None
Tom Robbins,1932, N/A, American, Bachelor's Degree, University of Washington
Elmore Leonard,1925, 2013, American, Bachelor's Degree, University of Detroit
Richard Bachman,1945, N/A, Caucasian, Bachelor's Degree, University of Maine
Anita Brookner,1928, 2016, British, PhD, University of London
Tom Clancy,1947, 2013, Irish American, Bachelor's Degree, Loyola College in Baltimore
Dick Francis.,1920, 2010, English, None, None
Isabel Allende.,1942, N/A, Chilean, Bachelor's Degree, Universidad de Chile
Larry McMurtry,1936, 2021, American, Bachelor's Degree, University of Texas at Austin
Isabel Allende,1942, N/A, Chilean, Bachelor's Degree, Universidad de Chile
Larry Collins,1929, 2005, American, Bachelor's Degree, University of California
Marguerite Duras,1914, 1996, French, None, None
Dominick Dunne,1925, 2009, American, Bachelor's Degree, Princeton University
Bret Easton Ellis,1964, N/A, American, Bachelor's Degree, Bennington College
Anthony Hyde,1946, N/A, Canadian, Bachelor's Degree, University of Toronto
Carl Sagan,1934, 1996, American, Ph.D., University of Chicago
Anne Rice,1941, 2021, Caucasian, Bachelor's Degree, Tulane University
Carlos Fuentes,1928, 2012, Mexican, Bachelor's Degree, National Autonomous University of Mexico
Chris Van Allsburg,1949, N/A, American, Bachelor's Degree, University of Michigan
Margaret Atwood,1939, N/A, Canadian, Master's Degree, Harvard University
William F. Buckley Jr.,1925, 2008, Caucasian, Bachelor's Degree, Yale University
Margaret Atwood.,1939, N/A, Canadian, Master's Degree, Harvard University
Christopher Buckley,1952, N/A, Caucasian, Bachelor's Degree, Harvard University
John Mortimer,1923, 2009, British, Bachelor's Degree, Christ Church
Judith Krantz.,1928, 2019, Jewish, Bachelor's Degree, Barnard College
 Elizabeth Forsythe Hailey,1941, N/A, American, Bachelor's Degree, University of North Carolina at Chapel Hill
John Mortimer.,1923, 2009, British, Bachelor's Degree, Brasenose College
Dean R. Koontz,1945, N/A, American, None, None
Marek Halter,1936, N/A, Polish Jew, None, None
Sue Miller,1943, N/A, White, Master's Degree, University of New Hampshire
Sue Miller ,1943, N/A, American, Bachelor's Degree, Radcliffe College
William J. Caunitz,1936, 1996, American, Bachelor's Degree, St. John's University
Sally Quinn,1941, N/A, Caucasian, Bachelor's Degree, Smith College
Tama Janowitz,1956, N/A, Jewish American, Bachelor's Degree, Barnard College
Karleen Koen,1948, N/A, None, Bachelor's Degree, University of California
Louise Erdrich,1954, N/A, Native American, Master's Degree, Johns Hopkins University
Pat Conroy,1945, 2016, American, Bachelor's Degree, The Citadel
P. D. James,1920, 2014, British, Bachelor's Degree, Cambridge University
Stephen Coonts,1946, N/A, American, Bachelor's Degree, U.S. Naval Academy
Patrick Suskind,1949, N/A, German, None, None
Pat Conroy.,1945, 2016, Caucasian, Bachelor's Degree, Citadel Military College of South Carolina
Mona Simpson,1957, N/A, Caucasian, Master's Degree, University of California
John Gregory  Dunne,1932, 2003, White, Bachelor's Degree, Princeton University
Sally Beauman,1937, N/A, British, Bachelor's Degree, University of Oxford
Stephen Coonts.,1946, N/A, American, Bachelor's Degree, West Virginia University
Stephen King.,1947, N/A, American, Bachelor's Degree, University of Maine
John Gardner.,1933, 1982, White, Master's Degree, University of Iowa
V. S. Naipaul.,1932, 2018, Indian, Master's Degree, University College London
David Eddings.,1931, 2009, Caucasian, Bachelor's Degree, Reed College
V. S. Naipaul,1932, 2018, Indian, Bachelor's Degree, University College London
Craig Thomas,1942, 2011, Welsh, None, None
David Eddings,1931, 2009, Caucasian, Bachelor's Degree, University of Washington
Clive Barker,1952, N/A, English, None, None
Scott Turow,1949, N/A, Caucasian, J.D., Harvard Law School
Robert Heinlein,1907, 1988, American, Bachelor's Degree, University of California
Doris Mortman,1933, 2019, None, Bachelor's Degree, Columbia University
Edward Rutherfurd,None, N/A, British, None, None
Scott Turow.,1949, N/A, White, J.D., Harvard Law School
Sidney Sheldon.,1917, 2007, American, Bachelor's Degree, Northwestern University
Bruce Chatwin,1940, 1989, White British, None, None
Martha Grimes,1931, N/A, American, Bachelor's Degree, University of Maryland
Barbara Raskin,1945, 2003, Caucasian, None, None
Harold Coyle,1943, N/A, American, Bachelor's Degree, University of South Carolina
Carrie Fisher,1956, 2016, Caucasian, Bachelor's Degree, University of California
  Martha Grimes,1931, N/A, American, Bachelor's Degree, University of Iowa
W. E. B. Griffin,1929, N/A, American, Bachelor's Degree, University of Pennsylvania
Gail Godwin.,1937, N/A, American, Bachelor's Degree, University of North Carolina at Greensboro
Tom Wolfe,1930, 2018, White, Bachelor’s Degree, Washington and Lee University
 James A. Michener,1907, 1997, American, Bachelor's Degree, University of Texas at Austin
Patrick F. McManus,1933, 2018, Caucasian, None, None
Jonathan Winters,1925, 2013, White, None, None
Thomas Flanagan,1923, 2002, Irish, Bachelor's Degree, University College Dublin
Rosamunde Pilcher,1924, 2022, British, None, None
Ethan Canin,1960, N/A, American, Master's Degree, University of Iowa
Michael Chabon,1963, N/A, Jewish, Bachelor's Degree, University of Pittsburgh
Nelson DeMille,1943, N/A, American, Bachelor's Degree, Hofstra University
William Kennedy,1928, N/A, American, Bachelor's Degree, University of Oregon
Tony Hillerman,1925, 2008, Native American, Bachelor's Degree, University of New Mexico
Don DeLillo,1936, N/A, American, Bachelor's Degree, Kean University
Diane Duane,1952, N/A, Caucasian, Bachelor's Degree, University of California
Joan Collins,1933, N/A, English, None, None
Anne Rivers Siddons,1934, 2021, American, Bachelor's Degree, College of Charleston
Wilhelm Grimm,1786, 1859, German, None, None
Jim Morrison,1943, 1971, Caucasian, None, None
Payne Harrison,1946, N/A, American, Bachelor's Degree, University of Arkansas
Salman Rushdie,1947, N/A, Indian-British, Master's Degree, University of Cambridge
LaVyrle Spencer,1943, N/A, American, Bachelor's Degree, University of Minnesota
Amy Tan,1952, N/A, Chinese-American, Master's Degree, San Jose State University
Larry Bond,1952, N/A, American, Bachelor's Degree, University of Minnesota
Eileen Goudge,1950, N/A, Caucasian, Bachelor's Degree, University of California
Dale Brown,1956, N/A, American, Bachelor's Degree, University of Minnesota
Larry Collins.,1929, 2005, American, Bachelor's Degree, None
Doris Mortman.,1930, 2019, Caucasian, Bachelor's Degree, Columbia University
Jude Deveraux,1947, N/A, White, Bachelor's Degree, University of North Carolina at Greensboro
Margaret Truman.,1924, 2008, White, Bachelor's Degree, George Washington University
Raymond E. Feist.,1945, N/A, American, Bachelor's Degree, University of California
Joseph F. Girzone,1932, 2015, None, Bachelor's Degree, Manhattan College
Allan Gurganus,1947, N/A, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Jimmy Stewart.,1908, 1997, Caucasian, Bachelor's Degree, Princeton University
Jonathan Kellerman,1949, N/A, Jewish, Ph.D., University of Southern California
J.M. Dillard,1949, N/A, None, Bachelor's Degree, University of California
Whitley Strieber,1945, N/A, Caucasian, Bachelor's Degree, University of Texas at Austin
Jimmy Buffett,1946, 2023, White, Bachelor's Degree, University of Southern Mississippi
Judith Viorst,1931, N/A, Jewish, Bachelor's Degree, Rutgers University
Jimmy Stewart,1908, 1997, Caucasian, Bachelor’s Degree, Princeton University
J. M. Dillard,1944, N/A, American, Bachelor's Degree, California State University
Armistead Maupin,1934, N/A, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Graeme Base,1958, N/A, Australian, None, None
Eric V. Lustbader,1946, N/A, American, Bachelor's Degree, New York University
Terry Brooks,1944, N/A, Caucasian, Bachelor's Degree, Hamilton College
Martin Amis,1949, N/A, British, Bachelor's Degree, University of Sussex
Sara Paretsky,1947, N/A, Caucasian, Bachelor's Degree, University of Kansas
Jimmy  Buffett,1946, 2023, Caucasian, Bachelor's Degree, University of Southern Mississippi
Sue Grafton,1940, 2017, American, Bachelor's Degree, University of Louisville
Dominick  Dunne,1925, 2017, White, Bachelor's Degree, Princeton University
Tom  Clancy,1947, 2013, Irish-American, Bachelor's Degree, Loyola College in Maryland
Dennis McFarland,1956, N/A, American, Bachelor's Degree, University of Massachusetts Amherst
John Saul,1942, N/A, Caucasian, Bachelor's Degree, University of California
de Deveraux,None, None, None, None, None
Kirk Douglas,1916, 2020, Jewish, None, None
Alice Hoffman,1952, N/A, Caucasian, Bachelor's Degree, Barnard College
M. Scott Peck,1936, 2005, Caucasian, Doctor of Medicine, Northwestern University Medical School
Mario Vargas Llosa,1936, N/A, Peruvian, Bachelor's Degree, National University of San Marcos
Alexandra Day,None, N/A, None, None, None
Jan Brett,1949, N/A, Caucasian, Bachelor's Degree, Art Institute of Boston
A. S. Byatt,1936, N/A, English, Master's Degree, University of Oxford
Maeve Binchy,1940, 2012, Irish, Bachelor's Degree, University College Dublin
Charles Johnson,1938, N/A, African American, PhD, University of Washington
John Grisham,1955, N/A, American, Juris Doctor, University of Mississippi
Josephine Hart,1945, 2011, Irish, Bachelor's Degree, University College Dublin
John Sandford,1944, N/A, Caucasian, Bachelor's Degree,University of Iowa
Whitney Otto,1960, N/A, White, Bachelor's Degree, University of California
Anna Quindlen,1952, N/A, Caucasian, Bachelor's Degree, Barnard College
Timothy Zahn,1951, N/A, Caucasian, Bachelor's Degree, Northern Arizona University
Lilian Jackson Braun,1913, 2011, White, None, None
Judith McNaught,1950, N/A, American, Bachelor's Degree, University of Illinois Urbana-Champaign
Sandra Brown,1948, N/A, Caucasian, Bachelor's Degree, University of Texas at Tyler
Robert Jordan,1948, 2007, White, Bachelor's Degree, Brigham Young University
Alexandra Ripley,1934, 2019, Caucasian, Bachelor's Degree, College of Charleston
Michael Jan Friedman,1949, N/A, Caucasian, Bachelor's Degree, New York University
Robert M. Pirsig,1928, 2017, American, Bachelor's Degree, University of Minnesota
Art Spiegelman,1948, N/A, American, Bachelor's Degree, Harpur College of the State University of New York
NO AUTHOR,None, None, None, None, None
Nick Bantock,1962, N/A, British, None, None
Nicholson Baker,1960, N/A, American, Bachelor's Degree, Harvard University
Ed McBain,1926, 2005, American, None, None
Margaret Wander Bonanno,1940, N/A, White, None, None
Ivana Trump,1949, N/A, Czech-American, Bachelor's Degree, Charles University in Prague
Jane Smiley,1943, N/A, American, Master's Degree, University of Iowa
Alice McDermott,1953, N/A, Irish-American, Bachelor's Degree, University of New Hampshire
Annie Dillard,1945, N/A, American, Bachelor's Degree, Hollins University
Terry McMillan,1951, N/A, African American, Bachelor's Degree, University of California
Cormac McCarthy,1933, N/A, American, None, None
Robert Harris,1957, N/A, English, Bachelor's Degree, University of Bristol
Peter David,1956, N/A, White, Bachelor's Degree, University of Florida
Robert James Waller,1939, 2017, Caucasian, Bachelor's Degree, University of Northern Iowa
Susan Sontag,1933, 2004, White, PhD, Harvard University
Patricia D. Cornwell,1956, N/A, Caucasian, None, None
Donna Tartt,1963, N/A, American, Bachelor's Degree, Bennington College
Rosellen Brown,1939, N/A, American, Master's Degree, University of Chicago
R. A. Salvatore,1964, N/A, American, Bachelor's Degree, Merrimack College
Olive Ann Burns,1911, 1990, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Diane Carey,1949, N/A, Caucasian, Bachelor's Degree, University of California
James Gurney,1958, N/A, Caucasian, Bachelor's Degree, University of California
Tom Hegg,1951, N/A, White, Bachelor's Degree, University of Minnesota
Dean Koontz,1945, N/A, American, None, None
Richard North Patterson,1947, N/A, American, Bachelor's Degree, Ohio Wesleyan University
James Patterson,1947, N/A, American, None, None
Alan Lightman,1948, N/A, Caucasian, Ph.D., Massachusetts Institute of Technology
Tad Williams,1957, N/A, American, None, None
Carmen Carter,1955, N/A, African American, Bachelor's Degree, University of Southern California
Laura Esquivel,1950, N/A, Mexican, Bachelor's Degree, National Autonomous University of Mexico
Kaye Gibbons,1960, N/A, American, Bachelor's Degree, University of North Carolina at Chapel Hill
Barbara Kingsolver,1955, N/A, American, Bachelor's Degree, DePauw University
Amanda Quick,1960, N/A, Caucasian, Bachelor's Degree, University of California
Julie Garwood,1944, N/A, White, Bachelor's Degree, University of Kansas
Michael Crichton writing as Jeffery Hudson,1942, 2008, American, MD, Harvard University
Steve Martini,1946, N/A, White, Bachelor's Degree, University of California
William Gibson,1948, N/A, American-Canadian, None, None
Carl Hiaasen,1953, N/A, White, Bachelor's Degree, University of Florida
Roger Stern,1952, N/A, Caucasian, Bachelor's Degree, University of Miami
R.A. Salvatore,1964, N/A, American, None, None
Harriet Doerr,1910, 2002, American, Bachelor's Degree, Stanford University
Peter Hoeg,1957, N/A, Danish, None, None
Phillip Margolin,1944, N/A, Caucasian, Bachelor's Degree, University of California
Peter Mayle,1939, 2018, British, Bachelor's Degree, University of Oxford
Susan Hill,1942, N/A, English, None, None
Kathy Tyers,1951, N/A, Caucasian, Bachelor's Degree, University of California
W.E.B. Griffin,1929, 2019, White, None, None
Jayne Ann Krentz,1948, N/A, Caucasian, Bachelor's Degree, Stanford University
Diana Gabaldon,1952, N/A, Caucasian, Bachelor's Degree, Northern Arizona University
Roddy Doyle,1958, N/A, Irish, Bachelor's Degree, University College Dublin
A.C. Crispin,1947, 2018, American, Bachelor's Degree, University of North Florida
James Redfield,1950, N/A, American, Bachelor's Degree, Auburn University
Caleb Carr,1955, N/A, American, Bachelor's Degree, Bard College
Michael Palmer,1943, 2019, American, Doctor of Medicine, University of Miami
Allan Folsom,1953, N/A, American, Bachelor's Degree, University of California
Dave Wolverton,1957, 2022, Caucasian, Bachelor's Degree, Brigham Young University
James Finn Garner,1949, N/A, White, Bachelor's Degree, University of Illinois at Chicago
Jane Hamilton,1957, N/A, White, Bachelor's Degree, Carleton College
Walter Mosley,1952, N/A, African American, None, None
Elizabeth George,1949, N/A, Caucasian, Bachelor's Degree, University of California
James Lee Burke,1936, N/A, Caucasian, Bachelor's Degree, University of Louisiana at Lafayette
Marlo Morgan,1941, N/A, None, Bachelor's Degree, University of California
Patricia Cornwell,1956, N/A, Caucasian, Bachelor's Degree, King College
Bebe Moore Campbell,1950, 2006, African American, Bachelor's Degree, University of California
Vonda N. McIntyre,1948, 2019, American, Bachelor's Degree, University of Washington
Don Imus,1937, 2023, White, None, None
Jimmy Carter,1924, N/A, Caucasian, Bachelor's Degree, United States Naval Academy
Pete Dexter,1943, N/A, American, Bachelor's Degree, University of Washington
George Dawes Green,1954, N/A, American, Bachelor's Degree, University of Georgia
Jack Finney,1911, 1995, American, Bachelor's Degree, Stanford University
Maya Angelou,1928, 2014, African American, Some college, George Washington University
Stanley Pottinger,1933, N/A, White, Bachelor's Degree, Harvard University
Barbara Hambly,1940, N/A, White, Bachelor's Degree, University of California
Patrick O'Brian,1918, 2000, English, None, None
Deepak Chopra,1946, N/A, Indian, Doctor of Medicine (MD), All India Institute of Medical Sciences
Winston Groom,1944, 2020, Caucasian, Bachelor's Degree, University of Alabama
Nicholas Evans,1950, N/A, British, Bachelor's Degree, Oxford University
Louisa May Alcott,1832, 1888, American, None, None
Kevin J. Anderson,1962, N/A, Caucasian, Bachelor's Degree, University of California
Richard Paul Evans,1962, N/A, Caucasian, Bachelor's Degree, University of Phoenix
