,author,birth,death,race_eth,education,institution,birthplace,temp,country,state,city,_merge,prestigious,prestige
1047,Paul Erdman,1932,2007,American,Undergrad ,University of Wisconsin-Madison,"Hershey, PA, USA","['Hershey', ' PA', ' USA']",USA,PA,Hershey,both,False,Other
1048,Anne Tolstoi Wallach,1945,N/A,None,Undergrad ,Union College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1049,Jackie Collins,1937,2015,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
1050,Robert Stone,1937,2015,American,Undergrad ,University of North Carolina at Chapel Hill,"Savannah, GA, USA","['Savannah', ' GA', ' USA']",USA,GA,Savannah,both,False,Top School
1051,Bette Bao Lord,1938,N/A,Chinese American,Undergrad ,Barnard College,"Shanghai, China","['Shanghai', ' China']",China,,Shanghai,both,False,Other
1052,Robert Moss,,N/A,Caucasian,None,None,,,,,,both,False,Other
1053,David Niven,1910,1983,British,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
1054,Step hen King,1947,N/A,American,None,None,"Portland, ME, USA","['Portland', ' ME', ' USA']",USA,ME,Portland,both,False,Other
1055,John Jakes,1932,2018,White,Undergrad ,DePauw University,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
1056,Gail Godwin,1937,N/A,American,Undergrad ,University of North Carolina at Greensboro,"Birmingham, AL, USA","['Birmingham', ' AL', ' USA']",USA,AL,Birmingham,both,False,Other
1057,Paul Theroux,1941,N/A,American,Undergrad ,University of Massachusetts Amherst,"Medford, MA, USA","['Medford', ' MA', ' USA']",USA,MA,Medford,both,False,Other
1058,Garrison Keillor,1942,N/A,American,Undergrad ,University of Minnesota,"Anoka, MN, USA","['Anoka', ' MN', ' USA']",USA,MN,Anoka,both,False,Other
1059,Anne Tyler,1941,N/A,American,Undergrad ,Duke University,"Minneapolis, MN, USA","['Minneapolis', ' MN', ' USA']",USA,MN,Minneapolis,both,False,Top School
1060,Thomas Thompson,,N/A,American,None,None,,,,,,both,False,Other
1061,Stephen R. Donaldson,1947,N/A,White,Undergrad ,Oberlin College,"Summit, NJ, USA","['Summit', ' NJ', ' USA']",USA,NJ,Summit,both,False,Other
1062,Rita Mae Brown,1944,N/A,White,Undergrad ,University of Florida,"Hanover, PA, USA","['Hanover', ' PA', ' USA']",USA,PA,Hanover,both,False,Other
1063,Judith Michael,,N/A,American,Undergrad ,University of Illinois,"Beverly Hills, CA, USA","['Beverly Hills', ' CA', ' USA']",USA,CA,Beverly Hills,both,False,Other
1064,Robert A. Heinlein,1907,1988,American,Undergrad ,University of California,"Burlington, NJ, USA","['Burlington', ' NJ', ' USA']",USA,NJ,Burlington,both,False,Other
1065,Michael Korda,1933,N/A,None,Undergrad ,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
1066,Jeffery Archer,1940,N/A,British,None,None,"London, England","['London', ' England']",England,,London,both,False,Other
1067,William Kotzwinkle,1943,N/A,American,Undergrad ,University of Massachusetts Amherst,"Scranton, PA, USA","['Scranton', ' PA', ' USA']",USA,PA,Scranton,both,False,Other
1068,Shirley Conran,1932,N/A,English,Undergrad ,None,"Sheffield, South Yorkshire, England","['Sheffield', ' South Yorkshire', ' England']",England,,Sheffield,both,False,Other
1069,Gerald A. Browne,1930,N/A,None,None,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1070,John M. Del Vecchio,1943,N/A,Italian American,Undergrad ,N/A,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1071,Isaac Asimov,1920,1992,Russian-American,Graduate,Columbia University,"Petrovichi, Smolensk, Russia","['Petrovichi', ' Smolensk', ' Russia']",Russia,,Petrovichi,both,True,Top School
1072,Douglas Adams,1952,2001,English,None,None,"Cambridge, Cambridgeshire, England","['Cambridge', ' Cambridgeshire', ' England']",England,,Cambridge,both,False,Other
1073,Elizabeth Forsythe Hailey,1941,N/A,American,Undergrad ,University of North Carolina at Chapel Hill,"Jacksonville, FL, USA","['Jacksonville', ' FL', ' USA']",USA,FL,Jacksonville,both,False,Top School
1074,Arthur C. Clarke,1917,2008,British,None,None,"Minehead, Somerset, England","['Minehead', ' Somerset', ' England']",England,,Minehead,both,False,Other
1075,Marion Zimmer Bradley,1930,1999,Caucasian,Undergrad ,University of California,"Albany, NY, USA","['Albany', ' NY', ' USA']",USA,NY,Albany,both,False,Other
1076,Elizabeth Forsythe Halley,1910,2005,American,Undergrad ,University of North Carolina at Chapel Hill,"San Antonio, TX, USA","['San Antonio', ' TX', ' USA']",USA,TX,San Antonio,both,False,Top School
1077,Louis L'Amour,1908,1988,American,Undergrad ,None,"mineola, New York, USA","[' mineola', ' New York', ' USA']",USA,NY,mineola,both,False,Other
1078,Nora Ephron,1941,2012,Jewish American,Undergrad ,Wellesley College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1079,Alice Walker,1944,N/A,African American,Undergrad ,Sarah Lawrence College,"Eatonton, GA, USA","['Eatonton', ' GA', ' USA']",USA,GA,Eatonton,both,False,Other
1080,L. Ron Hubbard,1911,1986,Caucasian,None,None,"Tilden, NE, USA","['Tilden', ' NE', ' USA']",USA,NE,Tilden,both,False,Other
1081,Malcolm Bosse,1926,2002,American,Undergrad ,Harvard University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
1082,Umberto Eco,1932,2016,Italian,Graduate,University of Bologna,"Alessandria, Piedmont, Italy","['Alessandria', ' Piedmont', ' Italy']",Italy,,Alessandria,both,False,Other
1083,Umberto Eco.,1932,2016,Italian,Graduate,University of Turin,"Alessandria, Piedmont, Italy","['Alessandria', ' Piedmont', ' Italy']",Italy,,Alessandria,both,False,Other
1084,Trevanian.,1931,2005,Caucasian,None,None,"Eugene, OR, USA","['Eugene', ' OR', ' USA']",USA,OR,Eugene,both,False,Other
1085,Andrew M. Greeley.,1928,2013,Irish-American,Graduate,University of Chicago,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Top School
1086,Barbara Taylor Bradford.,1933,N/A,British,None,None,"Leeds, West Yorkshire, England","['Leeds', ' West Yorkshire', ' England']",England,,Leeds,both,False,Other
1087,Louis L'Amour.,1908,1988,American,None,None,"Jamestown, ND, USA","['Jamestown', ' ND', ' USA']",USA,ND,Jamestown,both,False,Other
1088,Jean M. Auel.,1936,N/A,Caucasian,Undergrad ,University of Portland,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
1089,Mark Helprin,1947,N/A,Jewish,Undergrad ,Harvard College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1090,Stephen Birmingham,1929,2019,American,Undergrad ,Harvard University,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,True,Top School
1091,Bette Midler,1945,N/A,Caucasian,None,None,"Honolulu, HI, USA","['Honolulu', ' HI', ' USA']",USA,HI,Honolulu,both,False,Other
1092,Anne McCaffrey,1926,2011,Irish-American,Undergrad ,Radcliffe College,"Cambridge, MA, USA","['Cambridge', ' MA', ' USA']",USA,MA,Cambridge,both,False,Other
1093,Michael Ende,1929,1995,German,None,None,"Gütersloh, North Rhine-Westphalia, Germany","['Gütersloh', ' North Rhine-Westphalia', ' Germany']",Germany,,Gütersloh,both,False,Other
1094,Gary Jennings,1928,1999,Caucasian,Undergrad ,University of Southern California,"Los Angeles, CA, USA","['Los Angeles', ' CA', ' USA']",USA,CA,Los Angeles,both,False,Other
1095,Susan Isaacs,1943,N/A,Caucasian,Undergrad ,Sarah Lawrence College,"Brooklyn, NY, USA","['Brooklyn', ' NY', ' USA']",USA,NY,Brooklyn,both,False,Other
1096,Clare Francis,1938,N/A,British,Undergrad ,University of London,"Norwich, Norfolk, England","['Norwich', ' Norfolk', ' England']",England,,Norwich,both,False,Other
1097,David Nevin,1955,N/A,American,Undergrad ,University of California,,,,,,both,False,Other
1098,Dr. Seuss,1904,1991,American,Undergrad ,Dartmouth College,"Springfield, MA, USA","['Springfield', ' MA', ' USA']",USA,MA,Springfield,both,True,Top School
1099,Robert B. Parker,1932,2010,American,Undergrad ,Boston University,"Cedarhurst, NY, USA","['Cedarhurst', ' NY', ' USA']",USA,NY,Cedarhurst,both,False,Other
1100,Helen Hooven Santmyer,1886,1986,American,Undergrad ,Ohio State University,"Dayton, OH, USA","['Dayton', ' OH', ' USA']",USA,OH,Dayton,both,False,Other
1101,Mary Carey,1885,1970,Caucasian,None,None,"Linden, Texas, USA","['Linden', ' Texas', ' USA']",USA,TX,Linden,both,False,Other
1102,Milan Kundera,1929,N/A,Czech,Graduate,Charles University,"Brno, Czech Republic","['Brno', ' Czech Republic']",Czech Republic,,Brno,both,False,Other
1103,William Diehl,1924,2006,Caucasian,Undergrad ,University of Florida,"Atlanta, GA, USA","['Atlanta', ' GA', ' USA']",USA,GA,Atlanta,both,False,Other
1104,Jayne Anne Phillips,1952,N/A,American,Graduate,University of Iowa,"Martinsburg, WV, USA","['Martinsburg', ' WV', ' USA']",USA,WV,Martinsburg,both,False,Other
1105,Janet Dailey,1939,2021,Caucasian,Undergrad ,University of Iowa,"Mount Pleasant, IA, USA","['Mount Pleasant', ' IA', ' USA']",USA,IA,Mount Pleasant,both,False,Other
1106,Alice Adams,1926,1999,American,Undergrad ,University of California,"Kansas City, MO, USA","['Kansas City', ' MO', ' USA']",USA,MO,Kansas City,both,False,Other
1107,Joan Rivers,1933,2014,Jewish,None,None,"Brooklyn, NY, USA","['Brooklyn', ' NY', ' USA']",USA,NY,Brooklyn,both,False,Other
1108,E. T. A. Hoffmann,1776,1822,German,None,None,"Königsberg, Prussia, Germany","['Königsberg', ' Prussia', ' Germany']",Germany,,Königsberg,both,False,Other
1109,Tom Robbins,1932,N/A,American,Undergrad ,University of Washington,"Blowing Rock, NC, USA","['Blowing Rock', ' NC', ' USA']",USA,NC,Blowing Rock,both,False,Other
1110,Elmore Leonard,1925,2013,American,Undergrad ,University of Detroit,"New Orleans, LA, USA","['New Orleans', ' LA', ' USA']",USA,LA,New Orleans,both,False,Other
1111,Richard Bachman,1945,N/A,Caucasian,Undergrad ,University of Maine,,,,,,both,False,Other
1112,Anita Brookner,1928,2016,British,Graduate,University of London,"Herne Hill, London, England","['Herne Hill', ' London', ' England']",England,,Herne Hill,both,False,Other
1113,Tom Clancy,1947,2013,Irish American,Undergrad ,Loyola College in Baltimore,"Baltimore, MD, USA","['Baltimore', ' MD', ' USA']",USA,MD,Baltimore,both,False,Other
1114,Dick Francis.,1920,2010,English,None,None,"Lawrenny, Pembrokeshire, Wales","['Lawrenny', ' Pembrokeshire', ' Wales']",Wales,,Lawrenny,both,False,Other
1115,Isabel Allende.,1942,N/A,Chilean,Undergrad ,Universidad de Chile,"Lima, Peru","['Lima', ' Peru']",Peru,,Lima,both,False,Other
1116,Larry McMurtry,1936,2021,American,Undergrad ,University of Texas at Austin,"Wichita Falls, TX, USA","['Wichita Falls', ' TX', ' USA']",USA,TX,Wichita Falls,both,False,Top School
1117,Isabel Allende,1942,N/A,Chilean,Undergrad ,Universidad de Chile,"Lima, Peru","['Lima', ' Peru']",Peru,,Lima,both,False,Other
1118,Larry Collins,1929,2005,American,Undergrad ,University of California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1119,Marguerite Duras,1914,1996,French,None,None,"Gia Dinh, Vietnam","['Gia Dinh', ' Vietnam']",Vietnam,,Gia Dinh,both,False,Other
1120,Dominick Dunne,1925,2009,American,Undergrad ,Princeton University,"Holyoke, MA, USA","['Holyoke', ' MA', ' USA']",USA,MA,Holyoke,both,True,Top School
1121,Bret Easton Ellis,1964,N/A,American,Undergrad ,Bennington College,"Los Angeles, CA, USA","['Los Angeles', ' CA', ' USA']",USA,CA,Los Angeles,both,False,Other
1122,Anthony Hyde,1946,N/A,Canadian,Undergrad ,University of Toronto,,,,,,both,False,Other
1123,Carl Sagan,1934,1996,American,Graduate,University of Chicago,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Top School
1124,Anne Rice,1941,2021,Caucasian,Undergrad ,Tulane University,"New Orleans, LA, USA","['New Orleans', ' LA', ' USA']",USA,LA,New Orleans,both,False,Other
1125,Carlos Fuentes,1928,2012,Mexican,Undergrad ,National Autonomous University of Mexico,"Panama City, Panama","['Panama City', ' Panama']",Panama,,Panama City,both,False,Other
1126,Chris Van Allsburg,1949,N/A,American,Undergrad ,University of Michigan,"East Grand Rapids, MI, USA","['East Grand Rapids', ' MI', ' USA']",USA,MI,East Grand Rapids,both,False,Other
1127,Margaret Atwood,1939,N/A,Canadian,Graduate,Harvard University,"Ottawa, Ontario, Canada","['Ottawa', ' Ontario', ' Canada']",Canada,,Ottawa,both,True,Top School
1128,William F. Buckley Jr.,1925,2008,Caucasian,Undergrad ,Yale University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
1129,Margaret Atwood.,1939,N/A,Canadian,Graduate,Harvard University,"Ottawa, Ontario, Canada","['Ottawa', ' Ontario', ' Canada']",Canada,,Ottawa,both,True,Top School
1130,Christopher Buckley,1952,N/A,Caucasian,Undergrad ,Harvard University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
1131,John Mortimer,1923,2009,British,Undergrad ,Christ Church,"Harrow on the Hill, London, England","['Harrow on the Hill', ' London', ' England']",England,,Harrow on the Hill,both,False,Other
1132,Judith Krantz.,1928,2019,Jewish,Undergrad ,Barnard College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1133,Elizabeth Forsythe Hailey,1941,N/A,American,Undergrad ,University of North Carolina at Chapel Hill,"Shreveport, LA, USA","['Shreveport', ' LA', ' USA']",USA,LA,Shreveport,both,False,Top School
1134,John Mortimer.,1923,2009,British,Undergrad ,Brasenose College,"Perry Barr, Birmingham, England","['Perry Barr', ' Birmingham', ' England']",England,,Perry Barr,both,False,Other
1135,Dean R. Koontz,1945,N/A,American,None,None,"Plymouth, IN, USA","['Plymouth', ' IN', ' USA']",USA,IN,Plymouth,both,False,Other
1136,Marek Halter,1936,N/A,Polish Jew,None,None,"Warsaw, Poland","['Warsaw', ' Poland']",Poland,,Warsaw,both,False,Other
1137,Sue Miller,1943,N/A,White,Graduate,University of New Hampshire,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
1138,Sue Miller ,1943,N/A,American,Undergrad ,Radcliffe College,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
1139,William J. Caunitz,1936,1996,American,Undergrad ,St. John's University,"Brooklyn, NY, USA","['Brooklyn', ' NY', ' USA']",USA,NY,Brooklyn,both,False,Other
1140,Sally Quinn,1941,N/A,Caucasian,Undergrad ,Smith College,"Washington, D.C., USA","['Washington', ' D.C.', ' USA']",USA,D.C.,Washington,both,False,Other
1141,Tama Janowitz,1956,N/A,Jewish American,Undergrad ,Barnard College,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1142,Karleen Koen,1948,N/A,None,Undergrad ,University of California,"New Orleans, LA, USA","['New Orleans', ' LA', ' USA']",USA,LA,New Orleans,both,False,Other
1143,Louise Erdrich,1954,N/A,Native American,Graduate,Johns Hopkins University,"Little Falls, MN, USA","['Little Falls', ' MN', ' USA']",USA,MN,Little Falls,both,False,Top School
1144,Pat Conroy,1945,2016,American,Undergrad ,The Citadel,"Abbeville, SC, USA","['Abbeville', ' SC', ' USA']",USA,SC,Abbeville,both,False,Other
1145,P. D. James,1920,2014,British,Undergrad ,Cambridge University,"Oxford, Oxfordshire, England","['Oxford', ' Oxfordshire', ' England']",England,,Oxford,both,False,Other
1146,Stephen Coonts,1946,N/A,American,Undergrad ,U.S. Naval Academy,"West Baden Springs, IN, USA","['West Baden Springs', ' IN', ' USA']",USA,IN,West Baden Springs,both,False,Other
1147,Patrick Suskind,1949,N/A,German,None,None,"Ambach, Bavaria, Germany","['Ambach', ' Bavaria', ' Germany']",Germany,,Ambach,both,False,Other
1148,Pat Conroy.,1945,2016,Caucasian,Undergrad ,Citadel Military College of South Carolina,"Thomasville, GA, USA","['Thomasville', ' GA', ' USA']",USA,GA,Thomasville,both,False,Other
1149,Mona Simpson,1957,N/A,Caucasian,Graduate,University of California,"Chinatown, Los Angeles, CA, USA","['Chinatown', ' Los Angeles', ' CA', ' USA']",USA,CA,Chinatown,both,False,Other
1150,John Gregory  Dunne,1932,2003,White,Undergrad ,Princeton University,"Hartford, CT, USA","['Hartford', ' CT', ' USA']",USA,CT,Hartford,both,True,Top School
1151,Sally Beauman,1937,N/A,British,Undergrad ,University of Oxford,"London, England","['London', ' England']",England,,London,both,False,Other
1152,Stephen Coonts.,1946,N/A,American,Undergrad ,West Virginia University,"Elizabeth, NJ, USA","['Elizabeth', ' NJ', ' USA']",USA,NJ,Elizabeth,both,False,Other
1153,Stephen King.,1947,N/A,American,Undergrad ,University of Maine,"Portland, ME, USA","['Portland', ' ME', ' USA']",USA,ME,Portland,both,False,Other
1154,John Gardner.,1933,1982,White,Graduate,University of Iowa,"Batavia, NY, USA","['Batavia', ' NY', ' USA']",USA,NY,Batavia,both,False,Other
1155,V. S. Naipaul.,1932,2018,Indian,Graduate,University College London,"Chaguanas, Trinidad and Tobago","['Chaguanas', ' Trinidad and Tobago']",Trinidad and Tobago,,Chaguanas,both,False,Other
1156,David Eddings.,1931,2009,Caucasian,Undergrad ,Reed College,"Puyallup, WA, USA","['Puyallup', ' WA', ' USA']",USA,WA,Puyallup,both,False,Other
1157,V. S. Naipaul,1932,2018,Indian,Undergrad ,University College London,"Chaguanas, Trinidad and Tobago","['Chaguanas', ' Trinidad and Tobago']",Trinidad and Tobago,,Chaguanas,both,False,Other
1158,Craig Thomas,1942,2011,Welsh,None,None,"Pottawatomie County, Oklahoma, USA","['Pottawatomie County', ' Oklahoma', ' USA']",USA,OK,Pottawatomie County,both,False,Other
1159,David Eddings,1931,2009,Caucasian,Undergrad ,University of Washington,"Los Angeles, CA, USA","['Los Angeles', ' CA', ' USA']",USA,CA,Los Angeles,both,False,Other
1160,Clive Barker,1952,N/A,English,None,None,"Liverpool, England, UK","['Liverpool', ' England', ' UK']",United Kingdom,,Liverpool,both,False,Other
1161,Scott Turow,1949,N/A,Caucasian,Graduate,Harvard Law School,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
1162,Robert Heinlein,1907,1988,American,Undergrad ,University of California,"Butler, PA, USA","['Butler', ' PA', ' USA']",USA,PA,Butler,both,False,Other
1163,Doris Mortman,1933,2019,None,Undergrad ,Columbia University,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,True,Top School
1164,Edward Rutherfurd,,N/A,British,None,None,"Salisbury, Wiltshire, England","['Salisbury', ' Wiltshire', ' England']",England,,Salisbury,both,False,Other
1165,Scott Turow.,1949,N/A,White,Graduate,Harvard Law School,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Other
1166,Sidney Sheldon.,1917,2007,American,Undergrad ,Northwestern University,"Chicago, IL, USA","['Chicago', ' IL', ' USA']",USA,IL,Chicago,both,False,Top School
1167,Bruce Chatwin,1940,1989,White British,None,None,"Shrewsbury, Shropshire, England","['Shrewsbury', ' Shropshire', ' England']",England,,Shrewsbury,both,False,Other
1168,Martha Grimes,1931,N/A,American,Undergrad ,University of Maryland,"Chelsea, MA, USA","['Chelsea', ' MA', ' USA']",USA,MA,Chelsea,both,False,Other
1169,Barbara Raskin,1945,2003,Caucasian,None,None,"Washington, D.C., USA","['Washington', ' D.C.', ' USA']",USA,D.C.,Washington,both,False,Other
1170,Harold Coyle,1943,N/A,American,Undergrad ,University of South Carolina,"Manhattan, KS, USA","['Manhattan', ' KS', ' USA']",USA,KS,Manhattan,both,False,Other
1171,Carrie Fisher,1956,2016,Caucasian,Undergrad ,University of California,"Beverly Hills, CA, USA","['Beverly Hills', ' CA', ' USA']",USA,CA,Beverly Hills,both,False,Other
1172,Martha Grimes,1931,N/A,American,Undergrad ,University of Iowa,"Heatherton, Maryland, USA","['Heatherton', ' Maryland', ' USA']",USA,MD,Heatherton,both,False,Other
1173,W. E. B. Griffin,1929,N/A,American,Undergrad ,University of Pennsylvania,"Philadelphia, PA, USA","['Philadelphia', ' PA', ' USA']",USA,PA,Philadelphia,both,True,Top School
1174,Gail Godwin.,1937,N/A,American,Undergrad ,University of North Carolina at Greensboro,"Bangor, ME, USA","['Bangor', ' ME', ' USA']",USA,ME,Bangor,both,False,Other
1175,Tom Wolfe,1930,2018,White,Undergrad ,Washington and Lee University,"Richmond, VA, USA","['Richmond', ' VA', ' USA']",USA,VA,Richmond,both,False,Other
1176,James A. Michener,1907,1997,American,Undergrad ,University of Texas at Austin,"Doylestown, PA, USA","['Doylestown', ' PA', ' USA']",USA,PA,Doylestown,both,False,Top School
1177,Patrick F. McManus,1933,2018,Caucasian,None,None,"Sandpoint, ID, USA","['Sandpoint', ' ID', ' USA']",USA,ID,Sandpoint,both,False,Other
1178,Jonathan Winters,1925,2013,White,None,None,"Dayton, OH, USA","['Dayton', ' OH', ' USA']",USA,OH,Dayton,both,False,Other
1179,Thomas Flanagan,1923,2002,Irish,Undergrad ,University College Dublin,"Carrick-on-Shannon, County Leitrim, Ireland","['Carrick-on-Shannon', ' County Leitrim', ' Ireland']",Ireland,,Carrick-on-Shannon,both,False,Other
1180,Rosamunde Pilcher,1924,2022,British,None,None,"Landsdowne, Lelant, Cornwall, England","['Landsdowne', ' Lelant', ' Cornwall', ' England']",England,,Landsdowne,both,False,Other
1181,Ethan Canin,1960,N/A,American,Graduate,University of Iowa,"South Bend, IN, USA","['South Bend', ' IN', ' USA']",USA,IN,South Bend,both,False,Other
1182,Michael Chabon,1963,N/A,Jewish,Undergrad ,University of Pittsburgh,"Washington, D.C., USA","['Washington', ' D.C.', ' USA']",USA,D.C.,Washington,both,False,Other
1183,Nelson DeMille,1943,N/A,American,Undergrad ,Hofstra University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1184,William Kennedy,1928,N/A,American,Undergrad ,University of Oregon,"Albany, NY, USA","['Albany', ' NY', ' USA']",USA,NY,Albany,both,False,Other
1185,Tony Hillerman,1925,2008,Native American,Undergrad ,University of New Mexico,"Sacramento, CA, USA","['Sacramento', ' CA', ' USA']",USA,CA,Sacramento,both,False,Other
1186,Don DeLillo,1936,N/A,American,Undergrad ,Kean University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1187,Diane Duane,1952,N/A,Caucasian,Undergrad ,University of California,"Yonkers, NY, USA","['Yonkers', ' NY', ' USA']",USA,NY,Yonkers,both,False,Other
1188,Joan Collins,1933,N/A,English,None,None,"London, England, UK","['London', ' England', ' UK']",United Kingdom,,London,both,False,Other
1189,Anne Rivers Siddons,1934,2021,American,Undergrad ,College of Charleston,"Columbia, SC, USA","['Columbia', ' SC', ' USA']",USA,SC,Columbia,both,False,Other
1190,Wilhelm Grimm,1786,1859,German,None,None,"Hanau, Hesse, Germany","['Hanau', ' Hesse', ' Germany']",Germany,,Hanau,both,False,Other
1191,Jim Morrison,1943,1971,Caucasian,None,None,"Melbourne, FL, USA","['Melbourne', ' FL', ' USA']",USA,FL,Melbourne,both,False,Other
1192,Payne Harrison,1946,N/A,American,Undergrad ,University of Arkansas,,,,,,both,False,Other
1193,Salman Rushdie,1947,N/A,Indian-British,Graduate,University of Cambridge,"Mumbai, India","['Mumbai', ' India']",India,,Mumbai,both,False,Other
1194,LaVyrle Spencer,1943,N/A,American,Undergrad ,University of Minnesota,"Benson, MN, USA","['Benson', ' MN', ' USA']",USA,MN,Benson,both,False,Other
1195,Amy Tan,1952,N/A,Chinese-American,Graduate,San Jose State University,"Oakland, CA, USA","['Oakland', ' CA', ' USA']",USA,CA,Oakland,both,False,Other
1196,Larry Bond,1952,N/A,American,Undergrad ,University of Minnesota,"St. Louis, MO, USA","['St. Louis', ' MO', ' USA']",USA,MO,St. Louis,both,False,Other
1197,Eileen Goudge,1950,N/A,Caucasian,Undergrad ,University of California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1198,Dale Brown,1956,N/A,American,Undergrad ,University of Minnesota,"Berkeley, CA, USA","['Berkeley', ' CA', ' USA']",USA,CA,Berkeley,both,False,Other
1199,Larry Collins.,1929,2005,American,Undergrad ,None,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1200,Doris Mortman.,1930,2019,Caucasian,Undergrad ,Columbia University,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,True,Top School
1201,Jude Deveraux,1947,N/A,White,Undergrad ,University of North Carolina at Greensboro,"Fairchester, CT, USA","['Fairchester', ' CT', ' USA']",USA,CT,Fairchester,both,False,Other
1202,Margaret Truman.,1924,2008,White,Undergrad ,George Washington University,"Independence, MO, USA","['Independence', ' MO', ' USA']",USA,MO,Independence,both,False,Other
1203,Raymond E. Feist.,1945,N/A,American,Undergrad ,University of California,"Los Angeles, CA, USA","['Los Angeles', ' CA', ' USA']",USA,CA,Los Angeles,both,False,Other
1204,Joseph F. Girzone,1932,2015,None,Undergrad ,Manhattan College,"Syracuse, NY, USA","['Syracuse', ' NY', ' USA']",USA,NY,Syracuse,both,False,Other
1205,Allan Gurganus,1947,N/A,American,Undergrad ,University of North Carolina at Chapel Hill,"Rocky Mount, NC, USA","['Rocky Mount', ' NC', ' USA']",USA,NC,Rocky Mount,both,False,Top School
1206,Jimmy Stewart.,1908,1997,Caucasian,Undergrad ,Princeton University,"Indiana, PA, USA","['Indiana', ' PA', ' USA']",USA,PA,Indiana,both,True,Top School
1207,Jonathan Kellerman,1949,N/A,Jewish,Graduate,University of Southern California,"New York City, NY, USA","['New York City', ' NY', ' USA']",USA,NY,New York City,both,False,Other
1208,J.M. Dillard,1949,N/A,None,Undergrad ,University of California,"Reading, PA, USA","['Reading', ' PA', ' USA']",USA,PA,Reading,both,False,Other
1209,Whitley Strieber,1945,N/A,Caucasian,Undergrad ,University of Texas at Austin,"San Antonio, TX, USA","['San Antonio', ' TX', ' USA']",USA,TX,San Antonio,both,False,Top School
1210,Jimmy Buffett,1946,2023,White,Undergrad ,University of Southern Mississippi,"Pascagoula, MS, USA","['Pascagoula', ' MS', ' USA']",USA,MS,Pascagoula,both,False,Other
1211,Judith Viorst,1931,N/A,Jewish,Undergrad ,Rutgers University,"Newark, NJ, USA","['Newark', ' NJ', ' USA']",USA,NJ,Newark,both,False,Other
1212,Jimmy Stewart,1908,1997,Caucasian,Undergrad ,Princeton University,"Indiana, PA, USA","['Indiana', ' PA', ' USA']",USA,PA,Indiana,both,True,Top School
1213,J. M. Dillard,1944,N/A,American,Undergrad ,California State University,,,,,,both,False,Other
1214,Armistead Maupin,1934,N/A,American,Undergrad ,University of North Carolina at Chapel Hill,"Raleigh, NC, USA","['Raleigh', ' NC', ' USA']",USA,NC,Raleigh,both,False,Top School
1215,Graeme Base,1958,N/A,Australian,None,None,"Melbourne, Victoria, Australia","['Melbourne', ' Victoria', ' Australia']",Australia,,Melbourne,both,False,Other
1216,Eric V. Lustbader,1946,N/A,American,Undergrad ,New York University,"East Orange, NJ, USA","['East Orange', ' NJ', ' USA']",USA,NJ,East Orange,both,False,Other
